OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount,GrossSales,DiscountAmount,SalesAmount,Cost,Profit
O00054,2024-11-14,C0009,P008,East,1.0,12000,0.05,12000,600.0,11400.0,8183.4,3216.6
O00055,2025-12-09,C0073,P012,North,2.0,14500,0.02,29000,580.0,28420.0,21444.01,6975.99
O00056,2025-12-26,C0008,P013,East,2.0,10500,0.05,21000,1050.0,19950.0,14772.98,5177.02
O00057,2024-04-20,C0057,P011,West,1.0,2200,0.0,2200,0.0,2200.0,1513.85,686.15
O00058,2025-10-13,C0078,P012,West,3.0,14500,0.05,43500,2175.0,41325.0,26339.28,14985.72
O00059,2024-03-07,C0073,P001,North,5.0,85000,0.02,425000,8500.0,416500.0,263367.92,153132.08
O00060,2025-07-01,C0045,P006,South,1.0,3200,0.05,3200,160.0,3040.0,2069.74,970.26
O00061,2025-09-10,C0020,P010,North,5.0,1200,0.02,6000,120.0,5880.0,3315.04,2564.96
O00062,2025-10-13,C0094,P013,North,3.0,10500,0.1,31500,3150.0,28350.0,20874.68,7475.32
O00063,2024-06-12,C0084,P009,East,3.0,1800,0.02,5400,108.0,5292.0,2974.04,2317.96
O00064,2025-10-15,C0062,P013,North,3.0,10500,0.0,31500,0.0,31500.0,22130.46,9369.54
O00065,2024-03-25,C0009,P005,South,2.0,4500,0.02,9000,180.0,8820.0,6660.79,2159.21
O00066,2025-01-14,C0004,P003,North,1.0,42000,0.0,42000,0.0,42000.0,29474.77,12525.23
O00067,2024-12-09,C0032,P002,South,3.0,65000,0.05,195000,9750.0,185250.0,143763.83,41486.17
O00068,2024-08-18,C0016,P009,North,5.0,1800,0.1,9000,900.0,8100.0,4950.03,3149.97
O00069,2024-01-17,C0087,P010,South,3.0,1200,0.1,3600,360.0,3240.0,2037.78,1202.22
O00070,2025-07-18,C0021,P005,North,3.0,4500,0.02,13500,270.0,13230.0,9970.9,3259.1
O00071,2024-09-02,C0029,P012,West,4.0,14500,0.0,58000,0.0,58000.0,44473.42,13526.58
O00072,2025-04-28,C0098,P012,North,2.0,14500,0.1,29000,2900.0,26100.0,21569.6,4530.4
O00073,2024-10-26,C0082,P006,South,1.0,3200,0.0,3200,0.0,3200.0,2332.84,867.16
O00074,2024-09-30,C0022,P004,North,3.0,22000,0.02,66000,1320.0,64680.0,48905.56,15774.44
O00075,2025-10-09,C0039,P012,North,5.0,14500,0.1,72500,7250.0,65250.0,54352.47,10897.53
O00076,2024-03-10,C0052,P011,North,2.0,2200,0.02,4400,88.0,4312.0,3280.56,1031.44
O00077,2025-06-22,C0067,P003,North,5.0,42000,0.0,210000,0.0,210000.0,157345.08,52654.92
O00078,2025-06-29,C0094,P004,North,5.0,22000,0.02,110000,2200.0,107800.0,62698.39,45101.61
O00079,2024-10-04,C0088,P008,South,2.0,12000,0.05,24000,1200.0,22800.0,13610.0,9190.0
O00080,2024-07-10,C0098,P008,East,3.0,12000,0.0,36000,0.0,36000.0,23310.09,12689.91
O00081,2024-01-04,C0005,P003,North,4.0,42000,0.05,168000,8400.0,159600.0,116331.79,43268.21
O00082,2025-11-15,C0024,P015,South,3.0,500,0.02,1500,30.0,1470.0,1133.86,336.14
O00083,2025-11-23,C0057,P006,East,4.0,3200,0.02,12800,256.0,12544.0,8196.75,4347.25
O00084,2024-06-25,C0005,P006,North,5.0,3200,0.0,16000,0.0,16000.0,9988.51,6011.49
O00085,2024-01-24,C0036,P001,South,4.0,85000,0.1,340000,34000.0,306000.0,258736.95,47263.05
O00086,2024-03-30,C0016,P014,North,5.0,700,0.02,3500,70.0,3430.0,2160.62,1269.38
O00087,2024-02-19,C0094,P004,North,5.0,22000,0.05,110000,5500.0,104500.0,84878.99,19621.01
O00088,2025-08-30,C0007,P015,South,5.0,500,0.02,2500,50.0,2450.0,1494.57,955.43
O00089,2025-10-13,C0015,P008,West,5.0,12000,0.0,60000,0.0,60000.0,38823.47,21176.53
O00090,2024-04-22,C0020,P014,West,2.0,700,0.02,1400,28.0,1372.0,921.61,450.39
O00091,2025-06-29,C0015,P003,West,1.0,42000,0.05,42000,2100.0,39900.0,26496.45,13403.55
O00092,2024-05-11,C0057,P003,South,1.0,42000,0.05,42000,2100.0,39900.0,23138.07,16761.93
O00093,2024-09-25,C0037,P013,North,2.0,10500,0.1,21000,2100.0,18900.0,12885.34,6014.66
O00094,2025-03-14,C0092,P013,South,4.0,10500,0.1,42000,4200.0,37800.0,26928.99,10871.01
O00095,2025-06-10,C0027,P009,North,3.0,1800,0.1,5400,540.0,4860.0,3427.27,1432.73
O00096,2025-10-01,C0054,P001,North,3.0,85000,0.05,255000,12750.0,242250.0,194335.5,47914.5
O00097,2024-02-02,C0067,P015,North,1.0,500,0.05,500,25.0,475.0,281.39,193.61
O00098,2024-05-23,C0063,P006,South,4.0,3200,0.05,12800,640.0,12160.0,8384.21,3775.79
O00099,2024-07-24,C0080,P015,South,2.0,500,0.02,1000,20.0,980.0,560.13,419.87
O00100,2024-08-14,C0021,P014,North,4.0,700,0.1,2800,280.0,2520.0,2243.57,276.43
O00101,2025-12-30,C0051,P013,East,1.0,10500,0.1,10500,1050.0,9450.0,8015.24,1434.76
O00102,2025-07-22,C0081,P011,South,2.0,2200,0.02,4400,88.0,4312.0,3586.81,725.19
O00103,2024-08-22,C0087,P011,West,1.0,2200,0.1,2200,220.0,1980.0,1750.64,229.36
O00104,2025-12-11,C0062,P008,North,2.0,12000,0.1,24000,2400.0,21600.0,15246.47,6353.53
O00105,2024-12-30,C0066,P001,South,5.0,85000,0.02,425000,8500.0,416500.0,313109.2,103390.8
O00106,2025-01-01,C0087,P006,North,3.0,3200,0.1,9600,960.0,8640.0,6074.59,2565.41
O00107,2024-11-13,C0063,P011,South,3.0,2200,0.0,6600,0.0,6600.0,5212.79,1387.21
O00108,2024-04-15,C0095,P013,North,2.0,10500,0.0,21000,0.0,21000.0,13878.97,7121.03
O00109,2025-11-14,C0013,P009,North,2.0,1800,0.02,3600,72.0,3528.0,2345.36,1182.64
O00110,2024-01-11,C0035,P011,East,4.0,2200,0.05,8800,440.0,8360.0,7011.83,1348.17
O00111,2024-05-07,C0012,P001,North,5.0,85000,0.02,425000,8500.0,416500.0,329765.95,86734.05
O00112,2024-06-16,C0010,P008,North,4.0,12000,0.1,48000,4800.0,43200.0,38924.72,4275.28
O00113,2024-07-23,C0048,P008,West,4.0,12000,0.02,48000,960.0,47040.0,27261.69,19778.31
O00114,2024-04-06,C0023,P014,North,3.0,700,0.02,2100,42.0,2058.0,1292.97,765.03
O00115,2024-01-14,C0041,P005,East,1.0,4500,0.05,4500,225.0,4275.0,2840.54,1434.46
O00116,2025-05-10,C0044,P004,South,4.0,22000,0.0,88000,0.0,88000.0,58482.6,29517.4
O00117,2025-12-09,C0063,P006,North,5.0,3200,0.05,16000,800.0,15200.0,10843.92,4356.08
O00118,2024-03-30,C0095,P003,South,3.0,42000,0.02,126000,2520.0,123480.0,79215.89,44264.11
O00119,2024-08-04,C0085,P009,North,1.0,1800,0.15,1800,270.0,1530.0,1374.16,155.84
O00120,2025-01-05,C0038,P010,East,4.0,1200,0.05,4800,240.0,4560.0,2929.32,1630.68
O00121,2025-11-09,C0033,P013,North,5.0,10500,0.0,52500,0.0,52500.0,38748.13,13751.87
O00122,2025-05-22,C0078,P015,North,2.0,500,0.0,1000,0.0,1000.0,779.98,220.02
O00123,2025-07-14,C0013,P002,North,1.0,65000,0.0,65000,0.0,65000.0,46344.9,18655.1
O00124,2025-02-28,C0055,P004,West,4.0,22000,0.15,88000,13200.0,74800.0,56814.82,17985.18
O00125,2024-10-31,C0043,P005,West,2.0,4500,0.05,9000,450.0,8550.0,5406.58,3143.42
O00126,2024-05-26,C0019,P004,West,4.0,22000,0.02,88000,1760.0,86240.0,51592.07,34647.93
O00127,2025-09-23,C0062,P013,East,4.0,10500,0.0,42000,0.0,42000.0,31538.94,10461.06
O00128,2025-08-10,C0033,P003,East,2.0,42000,0.1,84000,8400.0,75600.0,56839.91,18760.09
O00129,2024-01-19,C0019,P001,South,1.0,85000,0.0,85000,0.0,85000.0,47813.03,37186.97
O00130,2025-06-06,C0066,P013,West,3.0,10500,0.05,31500,1575.0,29925.0,25692.56,4232.44
O00131,2024-03-02,C0018,P015,South,3.0,500,0.1,1500,150.0,1350.0,1096.88,253.12
O00132,2025-06-24,C0068,P004,South,5.0,22000,0.02,110000,2200.0,107800.0,85572.22,22227.78
O00133,2025-08-26,C0017,P005,East,2.0,4500,0.05,9000,450.0,8550.0,6014.8,2535.2
O00134,2024-04-05,C0044,P008,South,2.0,12000,0.0,24000,0.0,24000.0,19391.24,4608.76
O00135,2024-11-13,C0081,P008,North,5.0,12000,0.02,60000,1200.0,58800.0,36232.31,22567.69
O00136,2024-03-31,C0023,P015,South,4.0,500,0.15,2000,300.0,1700.0,1199.97,500.03
O00137,2025-02-18,C0077,P007,North,4.0,9000,0.05,36000,1800.0,34200.0,28454.05,5745.95
O00138,2025-11-09,C0073,P001,West,5.0,85000,0.1,425000,42500.0,382500.0,336074.53,46425.47
O00139,2024-02-29,C0091,P007,South,4.0,9000,0.05,36000,1800.0,34200.0,24650.47,9549.53
O00140,2024-10-17,C0017,P009,West,5.0,1800,0.0,9000,0.0,9000.0,5255.66,3744.34
O00141,2025-12-12,C0072,P008,South,4.0,12000,0.05,48000,2400.0,45600.0,30355.61,15244.39
O00142,2024-08-07,C0094,P008,East,3.0,12000,0.05,36000,1800.0,34200.0,27130.36,7069.64
O00143,2024-04-06,C0077,P014,North,1.0,700,0.0,700,0.0,700.0,544.89,155.11
O00144,2024-12-23,C0019,P013,West,4.0,10500,0.02,42000,840.0,41160.0,27042.4,14117.6
O00145,2025-01-06,C0083,P004,South,4.0,22000,0.05,88000,4400.0,83600.0,49854.91,33745.09
O00146,2025-04-29,C0011,P006,North,5.0,3200,0.05,16000,800.0,15200.0,11675.94,3524.06
O00147,2024-08-17,C0059,P011,North,4.0,2200,0.0,8800,0.0,8800.0,6597.04,2202.96
O00148,2025-11-29,C0050,P007,North,3.0,9000,0.1,27000,2700.0,24300.0,17941.07,6358.93
O00149,2025-01-15,C0054,P007,South,3.0,9000,0.02,27000,540.0,26460.0,19100.78,7359.22
O00150,2024-07-28,C0052,P003,East,1.0,42000,0.02,42000,840.0,41160.0,34296.79,6863.21
O00151,2025-12-02,C0004,P004,West,1.0,22000,0.0,22000,0.0,22000.0,13555.29,8444.71
O00152,2025-11-07,C0051,P012,East,1.0,14500,0.1,14500,1450.0,13050.0,10218.21,2831.79
O00153,2024-12-30,C0094,P013,South,5.0,10500,0.02,52500,1050.0,51450.0,37535.36,13914.64
O00154,2024-01-19,C0044,P012,South,4.0,14500,0.05,58000,2900.0,55100.0,40499.02,14600.98
O00155,2025-03-12,C0028,P005,West,2.0,4500,0.0,9000,0.0,9000.0,7061.98,1938.02
O00156,2025-02-09,C0100,P003,West,3.0,42000,0.05,126000,6300.0,119700.0,89882.36,29817.64
O00157,2024-04-18,C0010,P003,North,3.0,42000,0.1,126000,12600.0,113400.0,86578.42,26821.58
O00158,2025-04-08,C0049,P006,West,2.0,3200,0.02,6400,128.0,6272.0,3732.57,2539.43
O00159,2025-09-06,C0052,P008,South,3.0,12000,0.1,36000,3600.0,32400.0,26635.19,5764.81
O00160,2024-03-18,C0048,P014,West,2.0,700,0.0,1400,0.0,1400.0,819.94,580.06
O00161,2025-06-12,C0093,P014,West,4.0,700,0.0,2800,0.0,2800.0,1560.09,1239.91
O00162,2024-04-12,C0043,P001,East,4.0,85000,0.05,340000,17000.0,323000.0,231847.16,91152.84
O00163,2025-07-01,C0098,P011,North,1.0,2200,0.05,2200,110.0,2090.0,1550.03,539.97
O00164,2024-11-02,C0007,P005,East,3.0,4500,0.02,13500,270.0,13230.0,11066.55,2163.45
O00165,2024-01-05,C0074,P003,North,5.0,42000,0.05,210000,10500.0,199500.0,155888.93,43611.07
O00166,2025-12-07,C0060,P009,West,5.0,1800,0.02,9000,180.0,8820.0,7012.07,1807.93
O00167,2024-05-01,C0025,P001,North,4.0,85000,0.05,340000,17000.0,323000.0,218798.42,104201.58
O00168,2025-03-11,C0023,P006,East,4.0,3200,0.05,12800,640.0,12160.0,8798.81,3361.19
O00169,2024-05-12,C0072,P009,West,1.0,1800,0.15,1800,270.0,1530.0,1463.49,66.51
O00170,2025-11-13,C0064,P005,North,5.0,4500,0.05,22500,1125.0,21375.0,14910.64,6464.36
O00171,2025-06-23,C0062,P009,South,4.0,1800,0.05,7200,360.0,6840.0,5529.37,1310.63
O00172,2025-08-10,C0006,P007,East,5.0,9000,0.05,45000,2250.0,42750.0,31140.77,11609.23
O00173,2024-11-11,C0060,P012,South,5.0,14500,0.02,72500,1450.0,71050.0,44259.05,26790.95
O00174,2024-12-07,C0099,P003,North,2.0,42000,0.02,84000,1680.0,82320.0,59363.89,22956.11
O00175,2025-04-08,C0002,P001,North,1.0,85000,0.15,85000,12750.0,72250.0,51754.52,20495.48
O00176,2025-07-27,C0047,P008,South,4.0,12000,0.0,48000,0.0,48000.0,26439.23,21560.77
O00177,2025-09-11,C0050,P004,East,3.0,22000,0.1,66000,6600.0,59400.0,40503.67,18896.33
O00178,2024-01-14,C0090,P011,East,1.0,2200,0.0,2200,0.0,2200.0,1324.73,875.27
O00179,2025-04-30,C0029,P002,North,2.0,65000,0.1,130000,13000.0,117000.0,84519.33,32480.67
O00180,2024-03-20,C0048,P009,South,5.0,1800,0.0,9000,0.0,9000.0,7109.29,1890.71
O00181,2024-07-29,C0072,P015,South,2.0,500,0.15,1000,150.0,850.0,654.72,195.28
O00182,2025-08-29,C0007,P002,North,2.0,65000,0.05,130000,6500.0,123500.0,101166.09,22333.91
O00183,2024-07-02,C0081,P005,East,4.0,4500,0.0,18000,0.0,18000.0,12600.28,5399.72
O00184,2025-08-05,C0083,P013,North,4.0,10500,0.05,42000,2100.0,39900.0,23186.35,16713.65
O00185,2024-12-04,C0072,P009,South,2.0,1800,0.05,3600,180.0,3420.0,2163.45,1256.55
O00186,2024-06-19,C0065,P003,West,5.0,42000,0.02,210000,4200.0,205800.0,168303.47,37496.53
O00187,2024-09-01,C0075,P004,South,3.0,22000,0.02,66000,1320.0,64680.0,47066.37,17613.63
O00188,2025-01-22,C0079,P012,East,1.0,14500,0.05,14500,725.0,13775.0,11614.18,2160.82
O00189,2025-07-13,C0091,P013,North,2.0,10500,0.05,21000,1050.0,19950.0,13308.38,6641.62
O00190,2025-03-18,C0043,P006,North,5.0,3200,0.02,16000,320.0,15680.0,11895.55,3784.45
O00191,2025-11-13,C0046,P008,North,1.0,12000,0.1,12000,1200.0,10800.0,9101.36,1698.64
O00192,2025-09-26,C0064,P012,West,1.0,14500,0.02,14500,290.0,14210.0,11794.86,2415.14
O00193,2025-07-04,C0020,P003,West,4.0,42000,0.0,168000,0.0,168000.0,93224.49,74775.51
O00194,2025-03-16,C0086,P004,North,3.0,22000,0.05,66000,3300.0,62700.0,53268.87,9431.13
O00195,2024-07-30,C0078,P012,North,2.0,14500,0.0,29000,0.0,29000.0,19016.15,9983.85
O00196,2024-10-28,C0064,P003,South,3.0,42000,0.02,126000,2520.0,123480.0,97808.5,25671.5
O00197,2024-03-27,C0031,P012,East,1.0,14500,0.05,14500,725.0,13775.0,10107.55,3667.45
O00198,2024-09-30,C0035,P008,East,2.0,12000,0.02,24000,480.0,23520.0,16858.93,6661.07
O00199,2025-11-08,C0044,P015,East,2.0,500,0.0,1000,0.0,1000.0,647.03,352.97
O00200,2024-11-07,C0067,P001,West,3.0,85000,0.05,255000,12750.0,242250.0,197290.34,44959.66
O00201,2024-03-24,C0078,P015,North,4.0,500,0.05,2000,100.0,1900.0,1242.57,657.43
O00202,2025-04-21,C0068,P004,East,5.0,22000,0.1,110000,11000.0,99000.0,75119.57,23880.43
O00203,2025-12-04,C0093,P001,South,1.0,85000,0.05,85000,4250.0,80750.0,59606.0,21144.0
O00204,2025-09-26,C0097,P011,North,2.0,2200,0.05,4400,220.0,4180.0,3302.12,877.88
O00205,2024-07-19,C0071,P008,West,2.0,12000,0.02,24000,480.0,23520.0,16256.2,7263.8
O00206,2024-11-27,C0038,P013,North,3.0,10500,0.1,31500,3150.0,28350.0,23110.81,5239.19
O00207,2025-01-23,C0060,P002,East,3.0,65000,0.0,195000,0.0,195000.0,132800.73,62199.27
O00208,2024-06-30,C0043,P002,East,5.0,65000,0.0,325000,0.0,325000.0,236605.39,88394.61
O00209,2024-07-15,C0063,P009,West,5.0,1800,0.1,9000,900.0,8100.0,6588.17,1511.83
O00210,2024-06-22,C0082,P014,South,4.0,700,0.05,2800,140.0,2660.0,2076.34,583.66
O00211,2025-12-28,C0037,P007,South,1.0,9000,0.05,9000,450.0,8550.0,6950.62,1599.38
O00212,2025-06-29,C0051,P012,West,1.0,14500,0.0,14500,0.0,14500.0,10091.93,4408.07
O00213,2025-09-06,C0005,P014,West,5.0,700,0.0,3500,0.0,3500.0,2107.65,1392.35
O00214,2025-08-19,C0074,P014,South,5.0,700,0.05,3500,175.0,3325.0,2567.26,757.74
O00215,2025-12-02,C0049,P008,West,2.0,12000,0.05,24000,1200.0,22800.0,13699.73,9100.27
O00216,2024-03-17,C0046,P011,North,1.0,2200,0.05,2200,110.0,2090.0,1340.06,749.94
O00217,2025-10-06,C0054,P008,East,4.0,12000,0.0,48000,0.0,48000.0,36666.36,11333.64
O00218,2024-02-18,C0022,P011,West,3.0,2200,0.0,6600,0.0,6600.0,4405.29,2194.71
O00219,2024-12-13,C0060,P009,North,5.0,1800,0.05,9000,450.0,8550.0,6160.25,2389.75
O00220,2025-03-10,C0075,P008,South,3.0,12000,0.05,36000,1800.0,34200.0,29397.5,4802.5
O00221,2024-09-18,C0035,P007,West,4.0,9000,0.0,36000,0.0,36000.0,22085.88,13914.12
O00222,2024-04-16,C0014,P010,West,4.0,1200,0.0,4800,0.0,4800.0,2665.34,2134.66
O00223,2024-05-20,C0039,P012,West,1.0,14500,0.02,14500,290.0,14210.0,8411.02,5798.98
O00224,2025-08-25,C0020,P014,South,1.0,700,0.0,700,0.0,700.0,431.21,268.79
O00225,2024-08-20,C0038,P010,West,4.0,1200,0.05,4800,240.0,4560.0,3580.79,979.21
O00226,2024-08-14,C0063,P002,North,1.0,65000,0.0,65000,0.0,65000.0,49365.68,15634.32
O00227,2025-11-05,C0012,P009,South,2.0,1800,0.05,3600,180.0,3420.0,2529.66,890.34
O00228,2024-04-15,C0075,P005,South,4.0,4500,0.1,18000,1800.0,16200.0,11139.53,5060.47
O00229,2025-10-31,C0023,P001,West,2.0,85000,0.15,170000,25500.0,144500.0,117447.95,27052.05
O00230,2025-11-04,C0090,P002,West,1.0,65000,0.1,65000,6500.0,58500.0,36012.51,22487.49
O00231,2025-03-13,C0074,P009,East,1.0,1800,0.02,1800,36.0,1764.0,1321.36,442.64
O00232,2024-05-01,C0028,P015,East,3.0,500,0.0,1500,0.0,1500.0,1073.79,426.21
O00233,2024-04-23,C0057,P008,South,4.0,12000,0.02,48000,960.0,47040.0,26682.48,20357.52
O00234,2024-07-27,C0012,P007,South,4.0,9000,0.05,36000,1800.0,34200.0,27741.35,6458.65
O00235,2025-02-26,C0010,P002,South,5.0,65000,0.0,325000,0.0,325000.0,245740.68,79259.32
O00236,2024-04-22,C0096,P011,North,4.0,2200,0.02,8800,176.0,8624.0,5572.34,3051.66
O00237,2024-11-29,C0081,P001,South,4.0,85000,0.02,340000,6800.0,333200.0,245327.58,87872.42
O00238,2024-03-25,C0016,P013,West,2.0,10500,0.0,21000,0.0,21000.0,14960.47,6039.53
O00239,2025-01-29,C0029,P013,East,2.0,10500,0.05,21000,1050.0,19950.0,12361.83,7588.17
O00240,2024-01-16,C0020,P015,West,2.0,500,0.05,1000,50.0,950.0,602.18,347.82
O00241,2025-06-02,C0040,P005,South,1.0,4500,0.05,4500,225.0,4275.0,3305.1,969.9
O00242,2024-02-10,C0030,P003,South,5.0,42000,0.1,210000,21000.0,189000.0,168432.38,20567.62
O00243,2024-05-22,C0033,P005,North,2.0,4500,0.0,9000,0.0,9000.0,6350.37,2649.63
O00244,2024-05-07,C0053,P012,South,3.0,14500,0.0,43500,0.0,43500.0,30593.97,12906.03
O00245,2025-08-30,C0019,P004,South,2.0,22000,0.02,44000,880.0,43120.0,31882.58,11237.42
O00246,2024-02-09,C0089,P014,North,1.0,700,0.05,700,35.0,665.0,468.27,196.73
O00247,2024-11-09,C0073,P003,North,5.0,42000,0.05,210000,10500.0,199500.0,118571.55,80928.45
O00248,2025-03-08,C0077,P001,East,2.0,85000,0.0,170000,0.0,170000.0,111699.53,58300.47
O00249,2025-01-12,C0017,P004,South,1.0,22000,0.15,22000,3300.0,18700.0,17447.5,1252.5
O00250,2025-05-12,C0071,P012,South,2.0,14500,0.02,29000,580.0,28420.0,22252.73,6167.27
O00251,2025-08-10,C0084,P010,North,1.0,1200,0.02,1200,24.0,1176.0,960.49,215.51
O00252,2024-10-14,C0018,P006,South,5.0,3200,0.05,16000,800.0,15200.0,9460.23,5739.77
O00253,2025-08-28,C0076,P010,South,1.0,1200,0.1,1200,120.0,1080.0,823.93,256.07
O00254,2024-08-20,C0036,P010,South,2.0,1200,0.05,2400,120.0,2280.0,1698.9,581.1
O00255,2025-12-20,C0079,P009,East,2.0,1800,0.15,3600,540.0,3060.0,2184.05,875.95
O00256,2025-01-03,C0048,P008,North,1.0,12000,0.0,12000,0.0,12000.0,7251.14,4748.86
O00257,2025-06-22,C0081,P002,West,1.0,65000,0.05,65000,3250.0,61750.0,49474.68,12275.32
O00258,2025-10-01,C0015,P004,North,3.0,22000,0.1,66000,6600.0,59400.0,48272.4,11127.6
O00259,2025-08-02,C0039,P008,South,2.0,12000,0.05,24000,1200.0,22800.0,17393.78,5406.22
O00260,2025-09-14,C0028,P003,North,1.0,42000,0.02,42000,840.0,41160.0,26127.64,15032.36
O00261,2025-01-27,C0025,P008,South,2.0,12000,0.15,24000,3600.0,20400.0,16483.87,3916.13
